id,title,year,language,genre_list
0,"The Dawn Wall",2018,English,"Documentary"
1,"A Quiet Place",2018,English,"Horror"|"Drama"|"Mystery & Suspense"
2,"Searching",2018,English,"Drama"|"Mystery & Suspense"
3,"Incredibles 2",2018,English,"Action & Adventure"|"Animation"|"Kids & Family"
4,"One Cut of the Dead",2017,Japanese,"Comedy"|"Horror"
5,"Free Solo",2018,English,"Documentary"
6,"Project Gutenberg",2018,Chinese,"Action & Adventure"
7,"Crazy Rich Asians",2018,English,"Comedy"|"Romance"|"Comedy-Drama"
